id,comment,date,user
235167,I Agree,"Jun 8, 2017",Anonymous
235168,I Agree,"Jul 15, 2017",Anonymous
235168,I Agree,"Apr 25, 2017",Anonymous
235168,Every Metro Rail station should have a bike station nearby.,"Apr 18, 2017",Anonymous
236274,I Agree,"May 2, 2018",Anonymous
236274,Downtown Culver!,"Jul 21, 2017",Anonymous
236274,I Agree,"Jun 28, 2017",Anonymous
236274,I Agree,"Apr 29, 2017",Anonymous
236274,I Agree,"Apr 28, 2017",Anonymous
236274,I Agree,"Apr 28, 2017",Anonymous
236274,I Agree,"Apr 25, 2017",Anonymous
236274,Close to the farmers market!,"Apr 14, 2017",Anonymous
236357,This is a transpo hub,"Oct 3, 2017",Anonymous
236357,I Agree,"Jun 8, 2017",Anonymous
236357,I Agree,"Apr 21, 2017",Anonymous
236357,In general expanding the current downtown system outwards would increase ridership from people living close to downtown who want to get to downtown. This includes MacArthur Park and Koreatown - both served well by 7th St bike lanes. And USC soon to be served by Figueroa lanes.,"Apr 20, 2017",Anonymous
236357,Great connection to the red line and a good way to outreach the bike share to the latino community ,"Apr 18, 2017",Anonymous
236357,"This is also near a Metro Rail station, which should all have bike stations nearby each front.","Apr 18, 2017",Anonymous
236357,"Right, but also this is a standalone community that deserves its own services regardless to how it can serve the DTLA community. ","Apr 14, 2017",Anonymous
236357,Opens up parks to the DTLA community,"Apr 14, 2017",Anonymous
236372,More bike stops in neighborhoods immediately surrounding downtown. Expand the current network to the residents!,"Apr 20, 2017",Anonymous
236372,It would be great to have a station near Al and Beas! I would bike there once a week from City Hall. ,"Apr 14, 2017",Anonymous
236372,I work in downtown and I would LOVE to be able to bike to Boyle Heights for lunch in order to exercise and get access to a wider variety of lunch options.  This would enhance the ability of the local businesses in Boyle Heights to attract the downtown lunch crowd because the Little Tokyo station is too far from all the workers to be a feasible way to get to Boyle Heights during a lunch break.,"Apr 14, 2017",Anonymous
236374,I Agree,"Aug 2, 2017",Anonymous
236374,I Agree,"Apr 18, 2017",Anonymous
236376,Great choice for a station. Users in Boyle Heights will be able to drop off bikes in Arts District where they work.,"May 1, 2018",Anonymous
236376,I Agree,"Aug 2, 2017",Anonymous
236377,I Agree,"Aug 2, 2017",Anonymous
236380,"anywhere in Boyle Heights, please","Apr 15, 2017",Anonymous
236401,I Agree,"Aug 2, 2017",Anonymous
236403,I Agree,"Aug 2, 2017",Anonymous
236404,I Agree,"Aug 2, 2017",Anonymous
236590,"I Agree - great connection point to the expo line. All expo and subway stops in coverage zone should have at least one station. This being next to a university, expo line stop, football stadium, soccer stadium, museum and parks should have several nearby for public access.","Feb 9, 2019",Guest
236590,I Agree,"Oct 24, 2018",Anonymous
236590,I Agree,"Aug 27, 2018",Anonymous
236590,I Agree,"Jul 19, 2018",Anonymous
236590,I Agree,"Jul 13, 2018",Anonymous
236590,"Great for visiting the museums, USC and the Coliseum.","Nov 4, 2017",Anonymous
236590,There NEEDS to be a station at the coliseum. I am so sick of riding the expo line on game day!,"Nov 1, 2017",Anonymous
236590,I Agree,"Sep 19, 2017",Anonymous
236590,I Agree,"Aug 2, 2017",Anonymous
236590,Expo line sucks. Always breaks. Full of marigüanos and obscene music. A station here would provide relief ,"Jul 28, 2017",Anonymous
236590,I Agree,"Jul 18, 2017",Anonymous
236590,I would use bikeshare between USC and downtown,"Jun 24, 2017",Anonymous
236590,I Agree,"Apr 28, 2017",Anonymous
236590,Bike stations at metro stations encourages metro riding and bike riding,"Apr 26, 2017",Anonymous
236590,"<div class=""commentdate"">Apr 16, 2017<i>Anonymous</i> </div>","Apr 16, 2017",Anonymous
236590,"Located near Metro station, connecting University students, faculty, and staff.","Apr 15, 2017",Anonymous
236630,I Agree,"Oct 11, 2017",Anonymous
236630,I Agree,"Jul 25, 2017",Anonymous
236630,"I Agree.  Let City workers bike around, fewer cars.","Apr 18, 2017",Anonymous
236630,I agree,"Apr 17, 2017",Anonymous
236700,I Agree,"Jun 6, 2017",Anonymous
236700,I Agree,"May 5, 2017",Anonymous
236700,I Agree,"Apr 27, 2017",Anonymous
236700,Enough bike share locations in Downtown. Please add to Koreatown instead.,"Apr 14, 2017",Anonymous
236701,I Agree. Yeah. Here before Venice. ,"Jul 28, 2017",Anonymous
236701,Enough bike share locations in Downtown. Please add to Koreatown instead.,"Apr 14, 2017",Anonymous
236701,Enough bike share locations in Downtown. Please add to Koreatown instead.,"Apr 14, 2017",Anonymous
236702,I Agree,"Oct 16, 2018",Anonymous
236702,I Agree and another great location would be Wilshire and Vermont as there are a lot of shops there and a new yoga studio will be opening there.  Consider putting new stations along the red and purple line between 7th and metro and wilshire and vermont.  ,"Nov 7, 2017",Anonymous
236702,I Agree,"Jun 30, 2017",Anonymous
236702,"A downtown bike hub would allow for people to ride bikes to shops, bars and stores without worrying about worrying about bike theft. Another location would be echo par/sunset blvd","Jun 9, 2017",Anonymous
236702,I agree. The two closest locations (in front of DWP and on corner of Grand Ave and Temple St) are actually in convenient for people who work in the County buildings. This station would be much closer to bus and rail lines and is much more frequently used thoroughfare than the Temple/Grand area. ,"Jun 8, 2017",Anonymous
236702,I Agree. Super useful for jurors who want to head out a little further for lunch without having to move their cars and find/pay for parking elsewhere. Super useful for anyone who works at HOA or the courthouse.,"Apr 27, 2017",Anonymous
236702,"I Agree. I work in the County HOA and while I sometimes take a bike from the rack at the Cathedral at Grand & Temple at the top of the hill, there ought to be a rack at the Metro so I don't have to ride the bike back uphill. ","Apr 27, 2017",Anonymous
236702,I Agree,"Apr 20, 2017",Anonymous
236702,Every Metro Rail station should have a bike station adjacent to at least one of the exit/entry points.,"Apr 18, 2017",Anonymous
236702,Enough bike share locations in Downtown. Please add to Koreatown instead.,"Apr 14, 2017",Anonymous
236703,I Agree,"Jul 16, 2017",Anonymous
236704,I Agree,"Jul 27, 2017",Anonymous
236704,I Agree. near the main bust stop for UCLA students,"May 2, 2017",Anonymous
236704,"I Agree, this would be a great location for sure!","Apr 28, 2017",Anonymous
236704,"This is a great location and close to my apartment, would love this","Apr 17, 2017",Anonymous
236705,"I Agree, it is close to UCLA and other Blue Bus stops.","May 2, 2017",Anonymous
236705,I Agree! Culver shopping center here super gray location,"Apr 28, 2017",Anonymous
236705,I Agree! Culver shopping center here super gray location,"Apr 28, 2017",Anonymous
236705,I Agree,"Apr 28, 2017",Anonymous
236705,I Agree,"Apr 25, 2017",Anonymous
236706,I Agree,"Jul 26, 2017",Anonymous
236706,I Agree,"Jul 21, 2017",Anonymous
236706,I Agree,"Jul 19, 2017",Anonymous
236706,I Agree,"Jul 17, 2017",Anonymous
236706,"As much as possible, bike share stations should be placed at all rail stations.","Jul 7, 2017",Anonymous
236706,I Agree,"Jun 28, 2017",Anonymous
236706,I Agree,"Jun 27, 2017",Anonymous
236706,I Agree,"Jun 27, 2017",Anonymous
236706,I Agree,"May 6, 2017",Anonymous
236706,I Agree,"Apr 30, 2017",Anonymous
