id,lat,lng,comment,vote
234277,34.019674,-118.391161,,
235167,34.090732,-118.324428,,I like this location
235168,34.101677,-118.325844,,I like this location
236018,34.084512,-118.13324,,I like this location
236274,34.022609,-118.395753,Testing views,I like this location
236275,33.993473,-118.324127,,I like this location
236276,33.962477,-118.305342,,I like this location
236357,34.058206,-118.27589,,I like this location
236371,34.040605,-118.203363,Station for access to local food 4 less,I like this location
236372,34.043663,-118.210444,Easy access to bike share from soto/1st street station,I like this location
236373,34.046686,-118.207741,,I like this location
236374,34.043521,-118.200574,,I like this location
236375,34.040534,-118.212032,,I like this location
236376,34.034453,-118.215895,,I like this location
236377,34.032497,-118.217139,,I like this location
236378,34.03744,-118.204522,,I like this location
236379,34.045086,-118.204136,,I like this location
236380,34.042027,-118.206067,,I like this location
236397,34.044161,-118.200402,,I like this location
236398,34.045086,-118.204136,,I like this location
236399,34.046686,-118.207741,,I like this location
236400,34.040605,-118.203363,,I like this location
236401,34.042027,-118.206067,,I like this location
236402,34.043663,-118.210444,,I like this location
236403,34.03744,-118.204522,,I like this location
236404,34.040534,-118.212032,,I like this location
236590,34.018376,-118.286362,,I like this location
236630,34.054828,-118.230186,"We could use a bike station at the Piper Tech Facility, we have approximately 1,000 employees that need access to the Civic Center and different eating locations.  It could also be used by Union Station Passengers.",I like this location
236700,34.045477,-118.260484,Metro bike share in front of Ralphs would improve accessibility of the store outside of the financial district/south park,I like this location
236701,34.029118,-118.273659,Station next to LATTC/Ortho Institute station would help out when there are expo/blue line delays,I like this location
236702,34.055219,-118.245335,"It makes sense to put a bike station right outside the rail station.  Also, there are lots of people who work in the civic center buildings (Hall of Administration, Hall of Records, Superior Court, Criminal Court) including me who would be interested in using the bikes for transportation.",I like this location
236703,34.0913,-117.891283,,I like this location
236704,34.025063,-118.411932,,I like this location
236705,34.018874,-118.407211,,I like this location
236706,34.029118,-118.403864,,I like this location
236707,34.072426,-117.885876,,I like this location
236708,34.065992,-118.234048,Opens up the new park,I like this location
236709,34.061868,-118.258166,,I like this location
236710,34.017167,-118.278508,The Mercado La Paloma is here and would make a great bike station.,I like this location
236711,34.044268,-118.234649,This area is growing - a lot of popular businesses and new residential developments.,I like this location
236712,34.04729,-118.218684,There has to be a bike station at Mariachi Plaza!  There are cafes and restaurants in this neighborhood that would benefit from this!,I like this location
236713,34.053691,-118.24512,"There should be more bike stations in the civic center area.  Having them prominently on 1st would provide good visibility for promotion, so people know about them - especially since all the buses pass through this corridor.",I like this location
236714,34.032176,-118.239155,Might as well put a station out here for Smorgasburg and The Row.,I like this location
236715,34.028869,-118.386869,Perfect location that can be used to get from expo line station to downtown station via Washington Blvd./Culver Blvd.,I like this location
236716,34.078043,-118.260355,,I like this location
236717,34.074844,-118.258638,,I like this location
236718,34.092213,-118.281169,,I like this location
236719,34.082486,-118.272672,,I like this location
236720,34.10786,-118.254004,,I like this location
236721,34.102282,-118.292542,,I like this location
236722,34.089223,-118.291951,,I like this location
236723,34.111591,-118.191562,,I like this location
236724,34.099872,-118.261242,,I like this location
236730,34.038969,-118.360391,,I like this location
236731,34.062259,-118.290997,Please add bike share to Koreatown.,I like this location
236735,33.974364,-118.243017,,I like this location
236736,33.968135,-118.242974,,I like this location
236737,33.974577,-118.238683,,I like this location
236738,33.989203,-118.243189,,I like this location
236739,33.989345,-118.22525,,I like this location
236740,33.981588,-118.22525,,I like this location
236741,33.974186,-118.22525,,I like this location
236743,33.966854,-118.225079,,I like this location
236745,34.070862,-118.297691,Please add bike share to this location. There are several schools nearby which could benefit.,I like this location
236754,34.062366,-118.308678,Please add bike share along major intersections on Wilshire Blvd. These are natural transit termination points.,I like this location
236755,34.062117,-118.300052,Please add bike share along major intersections on Wilshire Blvd. These are natural transit termination points.,I like this location
236757,34.076692,-118.292027,Please add bike share along major intersections on Vermont ave. These are natural transit termination points.,I like this location
236758,34.069298,-118.291426,Please add bike share along major intersections on Vermont Ave.. These are natural transit termination points.,I like this location
236761,33.985609,-118.440428,At corner of Maxella and Lincoln.  Would greatly utilize future stop with Lincoln BRT.  ,I like this location
236765,34.017949,-118.291168,Exposition Park and the USC area needs Bikeshare. Lots of transit access and lots of transit users. Perfect combination,I like this location
236801,34.018198,-118.291426,,I like this location
236805,34.028264,-118.389401,Close to the Expo Line,I like this location
236806,34.083552,-118.294945,"This neighborhood is a known biking hub in the city, has lots of bike lanes, is near transit, and has lots of places to walk and hang out without a car. ",I like this location
236807,34.032141,-118.453517,,I like this location
236808,34.038222,-118.441458,,I like this location
236809,34.078967,-118.303399,Bikeshare in this neighborhood would make it easier for people to get to the Red Line. It's about an 18 minute walk and 6 minute bike ride. ,I like this location
236810,34.035306,-118.434033,,I like this location
236811,34.060801,-118.445449,"This would be great for UCLA students and Westwood customers looking to get around the area, which already has limited parking.",I like this location
236812,34.043841,-118.467851,,I like this location
236813,34.069298,-118.291426,Huge transportation stop. Southwestern Law School. ,I like this location
236814,34.063717,-118.44532,Bike share should be located as close to UCLA as possible. Hospital workers could bike down to Westwood for lunch or dinner.,I like this location
236815,34.062686,-118.442659,"There is a wide ""parklet"" space outside Trader Joe's that would be perfect for a Bike Share station.",I like this location
236816,34.050953,-118.452315,,I like this location
236817,34.062081,-118.446565,"Broxton is where many restaurants are, and people should be able to drop their bikes off here -- also it would allow people to leave the public parking lot and hop on a bike.",I like this location
236818,34.083623,-118.286705,Bikeshare in this neighborhood would make it easier for people to get to the Red Line. ,I like this location
236819,34.080922,-118.284302,Bikeshare in this neighborhood would make it easier for people to get to the Red Line. ,I like this location
236820,34.04,-118.42854,,I like this location
236821,34.036444,-118.425493,,I like this location
236822,34.028513,-118.411674,,I like this location
236823,34.02645,-118.371978,,I like this location
236824,34.024601,-118.355026,,I like this location
236825,34.021577,-118.346143,,I like this location
236826,34.022075,-118.334985,,I like this location
236827,34.010977,-118.335285,,I like this location
236828,34.018163,-118.308849,,I like this location
236831,34.117418,-118.26117,,I like this location
236832,34.105373,-118.309236,,I like this location
236833,34.105444,-118.287263,,I like this location
236836,34.010906,-118.318377,,I like this location
236837,34.048357,-118.338375,Big bus transportation hub and a neighborhood shopping/food destination,I like this location
236840,34.062188,-118.33786,,I like this location
236841,34.101855,-118.338203,,I like this location
236843,34.052731,-118.291769,,I like this location
236848,33.978955,-118.046551,I believe this would be a good location for Metro Bike share because it is located at the intersection of the Montebello 10 bus line (there's a stop at Philadelphia and Gregory) and the Whittier Greenway Trail.,I like this location
236852,33.968313,-118.042088,"This location is located where the Whittier Greenway Trail meets the Norwalk 7, Montebello 50 and Sunshine Shuttle bus routes.",I like this location
236853,34.101677,-118.308721,Transit adjacent.lots of foot traffic.,I like this location
236854,34.061512,-118.289108,,I like this location
236855,34.060766,-118.278208,"There's more room and it's safer on this side of the park, just use some space that the meters take up now. A lot of young folks live in this area and would love to metro bike to K-Town or Mid-Wilshire from here. The Mexican consulate is also here and some people take metro to get there because there is no parking, a metro bike station could also help with that and show the Mexican Consulate that our city does care about them and wants to make them feel welcome. ",I like this location
236856,34.098159,-118.291769,"Need the bike for the ""last mile"" to friends places in east Hollywood/Los Feliz",I like this location
236863,34.098408,-118.29134,"4 major employers, 3 hospitals, park, Red Line stop. restaurants. ",I like this location
236868,34.055006,-118.323827,There is mostly unused space here by the major streets of Crenshaw and Olympic.,I like this location
236874,34.028264,-118.389401,,I like this location
236875,34.025205,-118.393264,,I like this location
236876,34.028478,-118.396997,,I like this location
236877,34.024281,-118.394165,,I like this location
236878,34.029118,-118.403864,,I like this location
236879,34.01674,-118.387942,,I like this location
236880,34.020297,-118.382363,,I like this location
236881,34.02645,-118.371978,,I like this location
236882,34.036444,-118.425493,,I like this location
236883,34.025205,-118.393264,,I like this location
236884,34.024885,-118.381333,,I like this location
236885,34.031252,-118.395882,,I like this location
236886,34.034773,-118.38923,,I like this location
236887,34.043805,-118.257952,,I like this location
236888,34.030398,-118.384337,,I like this location
236890,34.030434,-118.380947,,I like this location
236891,34.031216,-118.40086,,I like this location
236892,34.038507,-118.375797,,I like this location
236893,34.038293,-118.388329,,I like this location
236894,34.094606,-117.71636,"Claremont Village = Useful location.

You need to fix your crappy placement in Pasadena too.",I like this location
236895,34.061904,-118.282928,"The only open space in a very high-density, transit-dependent neighborhood, this location deserves serious consideration. It meets all the criteria. ",I like this location
236899,34.100469,-118.236194,,I like this location
236900,34.120367,-118.255119,,I like this location
236902,34.02364,-118.283916,"Main pedestrian entrance to USC, adjacent to bike lanes on Hoover and bus stops for LA Dash and Metro bus 200 and 38",I like this location
236912,34.080176,-118.261514,Vons would be a great location for shopping!,I like this location
236913,34.077048,-118.257523,"Right in the heart of the Echo Park shops, can't go wrong!",I like this location
236914,34.079429,-118.268981,"Great for residents to get to Echo Park Lake, MacArthur Park or even DTLA",I like this location
